phrase	raw_frequency	dp1	dp2	logDice	label	attribute
angegeben Qualifikationspunkt	648	0,954133793	0,015539409	8,968788078	free	activity-
jung Nationaldemokrat	436	0,846898467	0,000744428	4,607923874	free	age
grün Klee	537	0,581583586	0,003247663	6,726469177	free	color
rot-silbern Decke	565	0,038210404	0,671746228	10,21035383	free	color
gesamt Bundesgebiet	4118	0,644336243	0,008253419	8,062913125	free	completeness
lang Blütenstiel	1116	0,594278188	0,001811067	5,889762279	free	dimension
anerkannt Erholungsort	1228	0,698631826	0,021515094	9,417928525	free	evaluation
best Einzelergebnis	752	0,566267133	0,001283381	5,394200361	free	evaluation
best Weltcupergebnis	491	0,881684782	0,000839536	4,781078001	free	evaluation
gut Regierungsführung	413	0,588339057	0,000248565	3,033667386	free	evaluation
unerwünscht Arzneimittelwirkung	473	0,812608329	0,022310761	9,474847567	free	evaluation
führend Antivirus	519	0,687730011	0,004429615	7,172533382	free	importance
wesentlich Vertragspflicht	670	0,826385129	0,004417494	7,169993344	free	importance
durchschnittlich Familiengröße	3610	0,991567093	0,038447053	10,24416552	free	intensity
durchschnittlich Haushaltsgröße	1219	0,959366561	0,012982325	8,713338958	free	intensity
links Brustseite	887	0,685515458	0,004456975	7,181614167	free	location
ober Tabellendrittel	740	0,588442454	0,005179856	7,395231418	free	location
rechts Maustaste	5860	0,606606968	0,026904758	9,722503916	free	location
friedlich Koexistenz	1144	0,671180853	0,031495788	9,945286593	free	manner
elektrisch Fensterheber	1289	0,796643804	0,012777139	8,686955152	free	manner-of-functioning
erst Bühnenerfahrung	474	0,560604915	0,000137724	2,192543598	free	number
erst Gehversuch	1464	0,734873554	0,000428443	3,81902218	free	number
erst Länderspieltor	750	0,561708088	0,000217931	2,854345469	free	number
erst Nachkriegsjahr	882	0,688723123	0,000257719	3,088253058	free	number
erst Profivertrag	1330	0,847882522	0,000390434	3,680706482	free	number
paar Jährchen	1458	0,710798358	0,00209749	6,100709391	free	number
zweit Jahreshälfte	2882	0,573945562	0,002383519	6,28787639	free	number
zweit Lebenshälfte	619	0,76276545	0,00051329	4,073795032	free	number
passend Staubsaugerbeutel	2035	0,945770477	0,013904716	8,810738819	free	quality
durchschnittlich Jahreseinkommen	1162	0,652699689	0,012372356	8,636555057	free	quantity
direkt Gegenzug	541	0,67103143	0,00271982	6,472616946	free	relation
eigen Gusto	434	0,636849432	0,000276455	3,185156385	free	relation
jeweilig Gebietsstand	542	0,734941245	0,001886695	5,947146248	free	relation
persönlich Schutzausrüstung	1360	0,626168297	0,003463538	6,820244552	free	relation
sonstig Wirtschaftsbereichen	619	0,861595234	0,006055472	7,622477577	free	relation
verschieden Veranstaltungsform	1499	0,851521662	0,001386519	5,504691614	free	relation
weiblich Haushaltsvorstand	491	0,746805293	0,004724799	7,265635289	free	sex
bayerisch Denkmalliste	957	0,661013458	0,006011929	7,609595162	free	social
deutsch Buchhandel	2494	0,664615142	0,001148206	5,238924015	free	social
deutsch Festnetz	2314	0,645184309	0,00106481	5,130961416	free	social
deutsch Nachkriegsgeschichte	530	0,606623191	0,000243623	3,006416686	free	social
deutsch Rechtswissenschaftler	1344	0,607126951	0,0006178	4,348007358	free	social
deutsch Synchronfassung	987	0,603480239	0,000453648	3,902975186	free	social
deutsch Volkstum	527	0,577734372	0,000242027	2,99820259	free	social
europäisch Ethnologie	521	0,591623792	0,001090481	5,158953346	free	social
