phrase	raw_frequency	dp1	dp2	logDice	label	compound-nn	compound-adj
gesitg Eigentum	1208	0,063402089	0,999908353	10,93198698	error	0	
berlin-brandenburg-schlesisch Oberlausitz	558	0,382978718	0,998206474	13,14684139	ne	1	1
bezirksfrei Stadt	2975	0,008204695	0,994802988	8,058846332	term	0	1
Dreißigjährig Krieg	6586	0,048816016	0,991507239	10,57421419	term	0	1
getyourguide Kunde	612	0,007569725	0,988279369	7,943459681	ne	0	0
comer See	576	0,006264238	0,987523868	7,672244657	ne	0	0
Dreißigjähriger Krieg	8015	0,059407573	0,983991993	10,84228649	term	0	1
Britisch-Amerikanisch Krieg	634	0,004699239	0,983782426	7,259788299	term	0	1
entspreche Anwalt	1177	0,032256173	0,9798353	9,99900443	error	0	
geraum Zeit	13294	0,013838331	0,979437915	8,804784684	collocation	0	0
dreißiger Jahr	4439	0,001118505	0,975380157	5,194296436	collocation	0	0
kompentent Anwalt	944	0,025870677	0,973013327	9,689618284	error	0	
fünfziger Jahr	7599	0,001914636	0,972861556	5,968712253	collocation	0	0
neunziger Jahr	9266	0,002334528	0,970364609	6,254231916	collocation	0	0
sechziger Jahr	9119	0,002297474	0,970000189	6,231213451	collocation	0	0
achtziger Jahr	10393	0,002618437	0,969764513	6,41941062	collocation	0	0
siebziger Jahr	10930	0,002753726	0,969711039	6,49189499	collocation	0	0
zwanziger Jahr	5262	0,001325708	0,969302116	5,439361069	collocation	0	0
rheumatoide Arthritis	623	0,216169224	0,968884199	12,49968081	term	0	0
süp Lig	1325	0,216361634	0,968542605	12,50064146	error	0	
vierziger Jahr	1524	0,000383935	0,966674124	3,652983219	collocation	0	0
auszusondernd Literatur	685	0,008687148	0,965748068	8,140204522	ne	0	0
unverrichtet Ding	1355	0,007293198	0,963465638	7,88994871	collocation	0	0
marineschule Mürwik	466	0,930139618	0,958847557	13,91727987	ne	0	0
kreisfrei Stadt	11594	0,031972625	0,958840223	9,985852934	term	0	1
wahrst Sinn	14301	0,101280825	0,957667623	11,55153257	collocation	0	0
keinst Weise	7986	0,036521825	0,956931467	10,1709945	collocation	0	0
vossisch Zeitung	542	0,004156797	0,956930337	7,08348149	ne	0	0
rheumatoid Arthritis	1039	0,360513286	0,955832301	13,06642009	term	0	0
vorlesungsfrei Zeit	1408	0,001465453	0,953549053	5,583667271	term	0	1
franckesch Stiftung	414	0,015228319	0,951586645	8,940009026	ne	0	0
unerfindlich Grund	1518	0,0051115	0,951401733	7,380352697	collocation	0	0
helllicht Tag	627	0,000585726	0,948844965	4,262010128	collocation	0	1
Hundertjährig Krieg	890	0,006596538	0,946120201	7,745964007	term	0	1
transsibirisch Eisenbahn	1443	0,082621961	0,945527152	11,28182733	ne	0	1
himmelweit Unterschied	620	0,006421404	0,938901275	7,707322135	collocation	0	1
russisch-japanisch Krieg	413	0,003061071	0,937945606	6,643619974	term	0	1
mulmig Gefühl	1965	0,020793648	0,937920194	9,380712447	collocation	0	0
timmendorfer Strand	896	0,031024612	0,935138119	9,942491706	ne	0	0
vermögenswirksam Leistung	923	0,003789198	0,933910894	6,9503992	term	0	1
nordostitalienisch Gemeinde	435	0,001586147	0,932070304	5,69743723	ne	0	1
lebenslanges Lernen	492	0,014194034	0,931642695	8,839636612	error	0	
letztwillig Verfügung	852	0,042807293	0,9310497	10,38916577	term	0	1
evangelisch-augsburgisch Kirche	470	0,00155606	0,925473084	5,669869793	ne	0	1
jerichower Land	635	0,00144137	0,923397094	5,55967359	ne	0	0
rhätisch Bahn	556	0,009121097	0,923277843	8,209282333	ne	0	0
geraume Zeit	1791	0,001863759	0,92257456	5,930092629	error	0	
demokratisch-republikanisch Partei	651	0,003153869	0,922347613	6,686545705	ne	0	1
hellicht Tag	654	0,000610826	0,916933155	4,322765265	collocation	0	1
Zuständiger Naturschutzbehörde	895	0,219685391	0,916053274	12,50339055	error	1	
spanisch-amerikanisch Krieg	587	0,004350642	0,915066765	7,14869789	term	0	1
allzulang Zeit	476	0,000495313	0,913988056	4,020480234	collocation	0	1
rechtsfrei Raum	1737	0,006733103	0,912894696	7,775079161	term	0	1
strunz'sch Mineralsystematik	804	0,910531881	0,912598913	13,86641685	term	1	0
employer Branding	452	0,43503346	0,911287308	13,23615602	term	0	0
betreutes Wohnen	1657	0,130873506	0,910883563	11,87258391	error	0	
sächsische Schweiz	437	0,023857398	0,91032484	9,573274664	ne	0	0
rausgeschmissen Geld	708	0,008319259	0,908424096	8,077587778	collocation	0	1
zwittrig Blüte	2625	0,059831728	0,904336752	10,84468252	term	0	0
lebensunwert Leben	448	0,0012976	0,901455327	5,408264791	collocation	0	1
gestiefelt Kater	693	0,064699446	0,89994855	10,94975086	ne	0	0
durchzecht Nacht	704	0,006824662	0,896289158	7,794123463	collocation	0	0
erektil Dysfunktion	947	0,454414022	0,895926043	13,27021239	term	0	0
gordisch Knoten	488	0,026692619	0,892047555	9,730068577	idiom	0	0
kohlenstofffaserverstärkt Kunststoff	445	0,043410122	0,891733206	10,40561249	term	1	1
challeng Tour	1179	0,024247548	0,891586905	9,595324253	term	0	0
steinhuder Meer	967	0,020159066	0,887729236	9,335230098	ne	0	0
gelinkt Seite	3353	0,005420096	0,887175914	7,464340795	term	0	0
denkmalgeschützen Objekt	2201	0,020987447	0,886257593	9,392021082	error	0	
abseitsverdächtig Position	407	0,003462502	0,886108699	6,820518783	term	0	1
triftig Grund	2018	0,006794326	0,885908318	7,787819983	collocation	0	0
sehnlichst Wunsch	575	0,009667873	0,885675945	8,291812764	collocation	0	0
grippal Infekt	1392	0,39725935	0,885485337	13,13346714	term	0	0
teutoburger Wald	3440	0,044602361	0,884850611	10,44241608	ne	0	0
beizulegend Zeitwert	536	0,623255444	0,881577283	13,54645294	term	1	0
mexikanisch-amerikanisch Krieg	1129	0,008367518	0,881344166	8,085526149	term	0	1
Kaspisch Meer	976	0,020346639	0,879830804	9,348007293	ne	0	0
aufschiebend Wirkung	2862	0,024139505	0,879479647	9,588617815	term	0	0
neuenheimer Feld	414	0,004619155	0,876660503	7,234359561	ne	0	0
selbes Jahr	1545	0,000388399	0,876319398	3,672662106	error	0	
Oberbergisch Kreis	2040	0,021122874	0,875803171	9,400685124	ne	0	0
tränend Auge	773	0,006114442	0,87181526	7,636497043	collocation	0	0
prenzlauer Berg	4365	0,05531988	0,870874686	10,7352108	ne	0	0
cald Cup	571	0,10589719	0,87040207	11,59510451	ne	0	0
schweisstreibend Job	1009	0,026270467	0,868138399	9,706627474	error	0	
erogen Zone	474	0,014651871	0,867968162	8,8831187	term	0	0
versaill Vertrag	2219	0,03216421	0,867470945	9,989170957	ne	0	0
gerüttelt Maß	458	0,004591027	0,866914297	7,225529412	collocation	0	0
fristlos Kündigung	4178	0,198147016	0,865640479	12,3673197	term	0	0
erneuerbare Energie	482	0,003516938	0,864648788	6,842841787	error	0	
schlaflos Nacht	2878	0,027899047	0,862971378	9,790600828	collocation	0	0
autogen Training	1771	0,043881882	0,861602319	10,4181636	term	0	0
krautig Pflanze	4427	0,061688077	0,860603236	10,88138016	term	0	0
erneuerbar Energie	42301	0,308650171	0,860374595	12,86211207	term	0	0
sixtinisch Kapelle	591	0,022077283	0,860127566	9,462180483	ne	0	0
luftleer Raum	941	0,003647255	0,859613299	6,895235548	term	0	0
destilliert Wasser	1640	0,013423529	0,858919819	8,758696938	collocation	0	0
reiflich Überlegung	1087	0,036547942	0,857108361	10,16573684	collocation	0	0
Kanarisch Insel	1744	0,015939858	0,856449557	9,002328472	ne	0	0
gelb-rot Karte	2199	0,019575403	0,856076418	9,292725626	term	0	1
evangelisch-freikirchlich Gemeinde	889	0,003241127	0,854226651	6,725598916	ne	0	1
Freigrafschaft Burgund	452	0,545234823	0,852828253	13,41184922	ne	0	1
getan Arbeit	2235	0,006220672	0,850569606	7,661254147	collocation	0	0
starnberger See	2183	0,023739134	0,846319428	9,563642304	ne	0	0
tausendundein Nacht	663	0,006426973	0,845136926	7,707570785	ne	0	0
wassergefährdend Stoff	710	0,010768656	0,844903154	8,444806009	term	0	1
abgereichert Uran	619	0,224600285	0,844463786	12,50519772	term	0	0
schulterlang Haar	493	0,006619115	0,843798127	7,749687167	collocation	0	1
zerlassen Butter	490	0,094887217	0,84334949	11,44854676	collocation	0	0
